module_hash,module_name,design_name,dataset_name,unique_count
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S35932,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S349,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S344,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S298_ORIG,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S27,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S15850,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S1494,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S1488,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S1423,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S13207,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S1238,iscas89,30
e099cd09066876736a430fa090b15b3e3b5e290e14c08867d940230314e31a1b,DFF,iscas89__S1196,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S953,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S9234,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S838,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S832,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S820,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S713,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S641,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S5378,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S526N,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S526,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S510,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S444,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S420,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S400,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S386,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S38584,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S38417,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S382,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S35932,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S349,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S344,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S298_ORIG,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S27,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S15850,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S1494,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S1488,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S1423,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S13207,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S1238,iscas89,30
de9ee20fe8d033c192556349714afe3cfad0dc2b612be50cf07c6196358eae44,OR2,iscas89__S1196,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S953,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S9234,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S838,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S832,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S820,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S713,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S641,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S5378,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S526N,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S526,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S510,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S444,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S420,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S400,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S386,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S38584,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S38417,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S382,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S35932,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S349,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S344,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S298_ORIG,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S27,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S15850,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S1494,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S1488,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S1423,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S13207,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S1238,iscas89,30
da7e63c16aad062702aae17eca6a066eaac3bf29ef349f91943c1cc511069f6c,FDMASK,iscas89__S1196,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S953,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S9234,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S838,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S832,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S820,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S713,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S641,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S5378,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S526N,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S526,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S510,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S444,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S420,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S400,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S386,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S38584,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S38417,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S382,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S35932,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S349,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S344,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S298_ORIG,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S27,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S15850,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S1494,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S1488,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S1423,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S13207,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S1238,iscas89,30
c5985fe5568b0e36d2647237d70e689f38f607df0ba1b1a919e3592dde50d5db,TX,iscas89__S1196,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S953,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S9234,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S838,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S832,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S820,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S713,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S641,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S5378,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S526N,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S526,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S510,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S444,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S420,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S400,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S386,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S38584,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S38417,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S382,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S35932,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S349,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S344,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S298_ORIG,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S27,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S15850,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S1494,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S1488,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S1423,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S13207,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S1238,iscas89,30
c4c53f41ad7f255697b8befb50dd41fc23a8cbf3e237318d477ab08cd2fbe319,OR3,iscas89__S1196,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S953,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S9234,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S838,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S832,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S820,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S713,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S641,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S5378,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S526N,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S526,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S510,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S444,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S420,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S400,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S386,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S38584,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S38417,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S382,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S35932,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S349,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S344,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S298_ORIG,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S27,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S15850,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S1494,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S1488,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S1423,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S13207,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S1238,iscas89,30
bbce09ebd8e7cf1e6203bce865fe0373a24b6a81e04d7de787c4d7d95f989de1,FD1S,iscas89__S1196,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S953,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S9234,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S838,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S832,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S820,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S713,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S641,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S5378,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S526N,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S526,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S510,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S444,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S420,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S400,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S386,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S38584,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S38417,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S382,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S35932,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S349,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S344,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S298_ORIG,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S27,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S15850,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S1494,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S1488,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S1423,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S13207,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S1238,iscas89,30
bae0fe9b20c6b82ffb82e0f5863bee7bbf9991a21a87def6e709fb841885c2e8,OR4,iscas89__S1196,iscas89,30
98e86d3aa4fdaf87349ea8d00eeb09daa28db9d56b4ed37ab4ac288aceeb0f5e,IV,iscas89__S953,iscas89,30
98e86d3aa4fdaf87349ea8d00eeb09daa28db9d56b4ed37ab4ac288aceeb0f5e,IV,iscas89__S9234,iscas89,30
98e86d3aa4fdaf87349ea8d00eeb09daa28db9d56b4ed37ab4ac288aceeb0f5e,IV,iscas89__S838,iscas89,30
98e86d3aa4fdaf87349ea8d00eeb09daa28db9d56b4ed37ab4ac288aceeb0f5e,IV,iscas89__S832,iscas89,30
98e86d3aa4fdaf87349ea8d00eeb09daa28db9d56b4ed37ab4ac288aceeb0f5e,IV,iscas89__S820,iscas89,30
98e86d3aa4fdaf87349ea8d00eeb09daa28db9d56b4ed37ab4ac288aceeb0f5e,IV,iscas89__S713,iscas89,30
98e86d3aa4fdaf87349ea8d00eeb09daa28db9d56b4ed37ab4ac288aceeb0f5e,IV,iscas89__S641,iscas89,30
98e86d3aa4fdaf87349ea8d00eeb09daa28db9d56b4ed37ab4ac288aceeb0f5e,IV,iscas89__S5378,iscas89,30
98e86d3aa4fdaf87349ea8d00eeb09daa28db9d56b4ed37ab4ac288aceeb0f5e,IV,iscas89__S526N,iscas89,30
98e86d3aa4fdaf87349ea8d00eeb09daa28db9d56b4ed37ab4ac288aceeb0f5e,IV,iscas89__S526,iscas89,30
98e86d3aa4fdaf87349ea8d00eeb09daa28db9d56b4ed37ab4ac288aceeb0f5e,IV,iscas89__S510,iscas89,30
98e86d3aa4fdaf87349ea8d00eeb09daa28db9d56b4ed37ab4ac288aceeb0f5e,IV,iscas89__S444,iscas89,30
